Player,Nation,Pos,Squad,Age,birth_year,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jamie Vardy,eng ENG,FW,Leicester City,38-109,1987,32,32,"2,571",28.6,7,3,10,6,1,2,5,0,10.2,8.7,2.9,11.6,27,20,108,0.25,0.11,0.35,0.21,0.32,0.36,0.10,0.46,0.30,0.40,Matches
Jan Bednarek,pl POL,DF,Southampton,29-018,1996,28,28,"2,351",26.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,4,58,2,0.08,0.00,0.08,0.08,0.08,0.02,0.02,0.05,0.02,0.05,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,24-326,2000,30,29,"2,598",28.9,1,1,2,1,0,0,8,1,1.3,1.3,1.5,2.7,53,209,5,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09,Matches
Jannik Vestergaard,dk DEN,DF,Leicester City,32-270,1992,18,16,"1,391",15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
Jarell Quansah,eng ENG,DF,Liverpool,22-091,2003,11,2,315,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,12,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Jarrad Branthwaite,eng ENG,DF,Everton,22-307,2002,27,25,"2,258",25.1,0,1,1,0,0,0,4,0,1.1,1.1,0.6,1.6,9,57,2,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.07,0.04,0.07,Matches
Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-131,1996,30,30,"2,631",29.2,9,7,16,8,1,1,1,0,7.4,6.7,6.3,13.1,97,85,183,0.31,0.24,0.55,0.27,0.51,0.25,0.22,0.47,0.23,0.45,Matches
Jason Steele,eng ENG,GK,Brighton,34-255,1990,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jean-Clair Todibo,fr FRA,DF,West Ham,25-121,1999,23,16,"1,485",16.5,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,9,28,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-306,1997,33,30,"2,442",27.1,14,2,16,12,2,2,2,0,12.1,10.5,3.1,13.6,37,46,114,0.52,0.07,0.59,0.44,0.52,0.45,0.11,0.56,0.39,0.50,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-307,1998,31,18,"1,486",16.5,2,6,8,2,0,0,3,0,1.3,1.3,3.6,4.9,47,36,81,0.12,0.36,0.48,0.12,0.48,0.08,0.22,0.30,0.08,0.30,Matches
Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-187,1994,29,23,"2,030",22.6,0,1,1,0,0,0,8,0,1.0,1.0,1.5,2.5,11,86,24,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-128,1992,12,0,103,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,4,5,9,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Matches
Jens Cajuste,se SWE,MF,Ipswich Town,25-263,1999,26,23,"1,774",19.7,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,23,46,16,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.06,0.02,0.06,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,22-338,2002,25,14,"1,307",14.5,3,5,8,3,0,0,1,0,1.0,1.0,3.9,4.9,176,62,235,0.21,0.34,0.55,0.21,0.55,0.07,0.27,0.34,0.07,0.34,Matches
Jesper Lindstrøm,dk DEN,FW,Everton,25-060,2000,25,15,"1,239",13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30,Matches
Joachim Andersen,dk DEN,DF,Fulham,28-334,1996,25,25,"2,223",24.7,0,0,0,0,0,0,5,1,0.9,0.9,0.3,1.3,13,103,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Joe Aribo,ng NGA,"MF,DF",Southampton,28-283,1996,30,20,"1,909",21.2,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,35,71,64,0.14,0.00,0.14,0.14,0.14,0.13,0.07,0.20,0.13,0.20,Matches
Joe Gomez,eng ENG,DF,Liverpool,27-342,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
Joe Lumley,eng ENG,GK,Southampton,30-074,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-253,1999,29,10,953,10.6,0,2,2,0,0,0,2,0,1.5,1.5,1.9,3.4,34,35,76,0.00,0.19,0.19,0.00,0.19,0.14,0.18,0.32,0.14,0.32,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,28-259,1996,29,29,"2,393",26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches
John McGinn,sct SCO,"MF,FW",Aston Villa,30-194,1994,30,24,"1,992",22.1,1,3,4,1,0,0,7,0,2.9,2.6,3.4,6.0,30,90,70,0.05,0.14,0.18,0.05,0.18,0.13,0.15,0.28,0.12,0.27,Matches
John Stones,eng ENG,"DF,MF",Manchester City,30-337,1994,11,6,548,6.1,2,0,2,2,0,0,1,0,0.4,0.4,0.1,0.5,10,21,2,0.33,0.00,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08,Matches
Jonny Evans,nir NIR,DF,Manchester Utd,37-117,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-231,1991,26,15,"1,356",15.1,4,0,4,3,1,1,5,0,2.9,2.1,0.8,2.9,42,33,75,0.27,0.00,0.27,0.20,0.20,0.19,0.06,0.25,0.14,0.19,Matches
Jordan Pickford,eng ENG,GK,Everton,31-054,1994,34,34,"3,060",34.0,0,1,1,0,0,0,7,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Jorge Cuenca,es ESP,DF,Fulham,25-164,1999,6,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Jorginho,it ITA,MF,Arsenal,33-131,1991,14,9,703,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-360,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-343,2001,32,14,"1,402",15.6,3,1,4,3,0,0,2,0,4.8,4.8,1.5,6.3,14,44,69,0.19,0.06,0.26,0.19,0.26,0.31,0.10,0.41,0.31,0.41,Matches
José Sá,pt POR,GK,Wolves,32-103,1993,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-272,1999,27,5,828,9.2,3,1,4,3,0,0,5,0,1.9,1.9,2.9,4.8,19,16,54,0.33,0.11,0.43,0.33,0.43,0.20,0.31,0.52,0.20,0.52,Matches
João Félix,pt POR,"FW,MF",Chelsea,25-171,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches
João Gomes,br BRA,MF,Wolves,24-077,2001,32,32,"2,691",29.9,3,1,4,3,0,0,10,1,2.7,2.7,1.1,3.9,53,146,66,0.10,0.03,0.13,0.10,0.13,0.09,0.04,0.13,0.09,0.13,Matches
João Pedro,br BRA,"FW,MF",Brighton,23-216,2001,27,23,"1,948",21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches
Joël Veltman,nl NED,DF,Brighton,33-105,1992,19,19,"1,643",18.3,0,0,0,0,0,0,4,0,0.5,0.5,0.5,0.9,29,79,32,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,23-097,2002,33,32,"2,917",32.4,5,0,5,5,0,0,2,0,4.4,4.0,2.0,6.0,78,240,96,0.15,0.00,0.15,0.15,0.15,0.13,0.06,0.20,0.12,0.19,Matches
Julian Araujo,mx MEX,DF,Bournemouth,23-260,2001,9,5,362,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,14,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-097,2004,10,9,620,6.9,1,3,4,1,0,0,3,0,1.2,1.2,1.2,2.4,13,22,30,0.15,0.44,0.58,0.15,0.58,0.17,0.18,0.35,0.17,0.35,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,21-097,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,Matches
Jurriën Timber,nl NED,DF,Arsenal,23-317,2001,30,27,"2,417",26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,Matches
Justin Devenny,nir NIR,MF,Crystal Palace,21-201,2003,20,4,429,4.8,1,0,1,1,0,0,1,0,0.7,0.7,0.4,1.1,4,16,12,0.21,0.00,0.21,0.21,0.21,0.14,0.09,0.22,0.14,0.22,Matches
Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-360,1999,30,26,"2,097",23.3,12,6,18,6,6,6,8,0,9.9,5.2,4.8,10.0,72,95,146,0.52,0.26,0.77,0.26,0.52,0.42,0.21,0.63,0.22,0.43,Matches
Jáder Durán,co COL,FW,Aston Villa,21-138,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches
Jørgen Strand Larsen,no NOR,FW,Wolves,25-083,2000,32,29,"2,463",27.4,13,2,15,13,0,0,4,0,10.0,10.0,2.4,12.4,16,28,106,0.48,0.07,0.55,0.48,0.55,0.37,0.09,0.45,0.37,0.45,Matches
Kai Havertz,de GER,"FW,MF",Arsenal,25-323,1999,21,21,"1,839",20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
Kalvin Phillips,eng ENG,MF,Ipswich Town,29-149,1995,18,14,"1,214",13.5,0,0,0,0,0,0,6,1,0.4,0.4,0.2,0.6,4,49,4,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-074,2002,22,13,"1,122",12.5,1,1,2,1,0,0,1,0,1.3,1.3,0.7,2.0,56,25,72,0.08,0.08,0.16,0.08,0.16,0.11,0.06,0.16,0.11,0.16,Matches
Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-345,1997,33,28,"2,521",28.0,9,3,12,9,0,0,1,0,8.8,8.8,4.4,13.2,138,82,277,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,Matches
Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-159,2001,14,5,529,5.9,0,1,1,0,0,0,2,0,0.6,0.6,0.5,1.1,14,10,48,0.00,0.17,0.17,0.00,0.17,0.10,0.08,0.18,0.10,0.18,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-067,2001,33,31,"2,714",30.2,1,3,4,1,0,0,5,0,2.6,2.6,3.0,5.6,92,88,143,0.03,0.10,0.13,0.03,0.13,0.08,0.10,0.18,0.08,0.18,Matches
Kenny Tete,nl NED,DF,Fulham,29-203,1995,18,17,"1,438",16.0,0,2,2,0,0,0,3,0,1.2,1.2,0.9,2.1,33,46,45,0.00,0.13,0.13,0.00,0.13,0.08,0.05,0.13,0.08,0.13,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-209,1994,27,27,"2,430",27.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Danso,at AUT,DF,Tottenham,26-223,1998,6,5,482,5.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,10,17,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-306,1991,24,16,"1,455",16.2,3,7,10,3,0,0,2,0,3.4,3.4,7.6,11.0,47,128,132,0.19,0.43,0.62,0.19,0.62,0.21,0.47,0.68,0.21,0.68,Matches
Kevin Schade,de GER,FW,Brentford,23-154,2001,33,21,"1,931",21.5,7,2,9,7,0,0,3,0,6.2,6.2,3.3,9.5,54,32,139,0.33,0.09,0.42,0.33,0.42,0.29,0.16,0.44,0.29,0.44,Matches
Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-329,1997,10,1,181,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.9,1.1,5,12,22,0.00,0.00,0.00,0.00,0.00,0.10,0.43,0.53,0.10,0.53,Matches
Kieran Trippier,eng ENG,DF,Newcastle Utd,34-223,1990,23,13,"1,192",13.2,0,3,3,0,0,0,1,0,0.1,0.1,1.3,1.3,25,106,52,0.00,0.23,0.23,0.00,0.23,0.01,0.10,0.10,0.01,0.10,Matches
Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-236,1998,12,2,259,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.00,0.35,0.35,0.00,0.35,0.08,0.37,0.45,0.08,0.45,Matches
Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-011,2005,21,17,"1,416",15.7,0,0,0,0,0,0,5,0,0.6,0.6,1.6,2.2,21,56,38,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches
Konstantinos Mavropanos,gr GRE,DF,West Ham,27-140,1997,30,20,"1,944",21.6,0,0,0,0,0,0,6,1,1.5,1.5,0.5,2.0,16,60,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Kosta Nedeljković,rs SRB,DF,Aston Villa,19-135,2005,5,0,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Kostas Tsimikas,gr GRE,DF,Liverpool,28-353,1996,16,7,666,7.4,0,1,1,0,0,0,2,0,0.4,0.4,1.8,2.2,15,67,38,0.00,0.14,0.14,0.00,0.14,0.05,0.25,0.30,0.05,0.30,Matches
Kristoffer Ajer,no NOR,DF,Brentford,27-013,1998,20,17,"1,388",15.4,0,0,0,0,0,0,4,0,0.8,0.8,1.2,2.1,27,52,42,0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.13,0.05,0.13,Matches
Kyle Walker,eng ENG,DF,Manchester City,34-337,1990,15,9,970,10.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.6,12,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
Kyle Walker-Peters,eng ENG,DF,Southampton,28-017,1997,32,32,"2,828",31.4,0,2,2,0,0,0,5,0,0.8,0.8,2.7,3.6,112,134,139,0.00,0.06,0.06,0.00,0.06,0.03,0.09,0.11,0.03,0.11,Matches
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-115,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Leandro Trossard,be BEL,FW,Arsenal,30-147,1994,34,25,"2,264",25.2,8,5,13,8,0,0,4,1,6.6,6.6,5.1,11.8,71,91,202,0.32,0.20,0.52,0.32,0.52,0.26,0.20,0.47,0.26,0.47,Matches
Leif Davis,eng ENG,DF,Ipswich Town,25-108,2000,31,30,"2,563",28.5,1,2,3,1,0,0,5,1,0.9,0.9,4.3,5.2,48,55,117,0.04,0.07,0.11,0.04,0.11,0.03,0.15,0.18,0.03,0.18,Matches
Leny Yoro,fr FRA,DF,Manchester Utd,19-168,2005,19,11,"1,069",11.9,0,0,0,0,0,0,5,0,0.7,0.7,0.0,0.7,19,48,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-264,1997,23,14,"1,138",12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches
Lesley Ugochukwu,fr FRA,MF,Southampton,21-035,2004,23,15,"1,447",16.1,1,1,2,1,0,0,5,0,0.8,0.8,1.0,1.8,27,48,20,0.06,0.06,0.12,0.06,0.12,0.05,0.06,0.11,0.05,0.11,Matches
Levi Colwill,eng ENG,DF,Chelsea,22-063,2003,31,31,"2,789",31.0,1,1,2,1,0,0,8,0,1.3,1.3,1.1,2.5,13,124,11,0.03,0.03,0.06,0.03,0.06,0.04,0.04,0.08,0.04,0.08,Matches
Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-086,1997,33,29,"2,726",30.3,1,3,4,1,0,0,8,0,0.9,0.9,4.1,5.0,33,152,48,0.03,0.10,0.13,0.03,0.13,0.03,0.14,0.17,0.03,0.17,Matches
Lewis Dunk,eng ENG,DF,Brighton,33-160,1991,24,22,"1,993",22.1,0,0,0,0,0,0,5,0,0.8,0.8,0.5,1.3,20,142,3,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,20-234,2004,27,24,"2,189",24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19,Matches
Lewis Miley,eng ENG,MF,Newcastle Utd,18-364,2006,12,1,249,2.8,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.6,2,14,7,0.36,0.00,0.36,0.36,0.36,0.20,0.01,0.21,0.20,0.21,Matches
Liam Delap,eng ENG,FW,Ipswich Town,22-081,2003,33,30,"2,424",26.9,12,2,14,10,2,2,9,0,9.1,7.5,1.9,9.4,59,30,104,0.45,0.07,0.52,0.37,0.45,0.34,0.07,0.41,0.28,0.35,Matches
Lisandro Martínez,ar ARG,DF,Manchester Utd,27-102,1998,20,20,"1,751",19.5,2,1,3,2,0,0,7,0,1.3,1.3,1.1,2.4,23,117,7,0.10,0.05,0.15,0.10,0.15,0.07,0.06,0.13,0.07,0.13,Matches
Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-206,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches
Lucas Bergvall,se SWE,MF,Tottenham,19-087,2006,27,11,"1,212",13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches
Lucas Digne,fr FRA,DF,Aston Villa,31-284,1993,30,27,"2,241",24.9,0,4,4,0,0,0,4,0,0.8,0.8,4.4,5.1,23,54,140,0.00,0.16,0.16,0.00,0.16,0.03,0.17,0.21,0.03,0.21,Matches
Lucas Paquetá,br BRA,"MF,FW",West Ham,27-246,1997,30,26,"2,257",25.1,4,0,4,2,2,2,8,0,5.2,3.6,3.0,6.6,20,140,82,0.16,0.00,0.16,0.08,0.08,0.21,0.12,0.33,0.14,0.27,Matches
Luis Díaz,co COL,FW,Liverpool,28-107,1997,33,26,"2,225",24.7,12,5,17,12,0,0,2,0,10.0,10.0,4.9,14.9,103,103,269,0.49,0.20,0.69,0.49,0.69,0.40,0.20,0.60,0.40,0.60,Matches
Luis Guilherme,br BRA,"MF,FW",West Ham,19-080,2006,11,1,138,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,3,13,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.24,0.19,0.24,Matches
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-317,1999,12,1,236,2.6,1,1,2,1,0,0,0,0,1.2,1.2,1.4,2.6,19,6,38,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.00,0.46,1.00,Matches
Luke Shaw,eng ENG,DF,Manchester Utd,29-292,1995,4,1,173,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,6,18,7,0.00,0.00,0.00,0.00,0.00,0.02,0.37,0.38,0.02,0.38,Matches
Luke Thomas,eng ENG,DF,Leicester City,23-324,2001,10,9,783,8.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,3,26,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Luke Woolfenden,eng ENG,DF,Ipswich Town,26-191,1998,14,11,"1,097",12.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,7,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Hermansen,dk DEN,GK,Leicester City,24-293,2000,27,27,"2,385",26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mads Roerslev,dk DEN,DF,Brentford,25-310,1999,19,11,"1,101",12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.00,0.16,0.16,0.00,0.16,0.02,0.24,0.26,0.02,0.26,Matches
Malo Gusto,fr FRA,DF,Chelsea,21-346,2003,28,19,"1,819",20.2,0,1,1,0,0,0,4,0,1.7,1.7,1.2,2.9,48,118,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-285,1995,22,20,"1,711",19.0,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-019,2001,26,20,"1,616",18.0,1,1,2,1,0,0,9,0,1.0,1.0,1.1,2.0,12,55,19,0.06,0.06,0.11,0.06,0.11,0.05,0.06,0.11,0.05,0.11,Matches
Marc Cucurella,es ESP,DF,Chelsea,26-282,1998,32,29,"2,628",29.2,4,1,5,4,0,0,10,1,2.6,2.6,1.9,4.5,30,104,108,0.14,0.03,0.17,0.14,0.17,0.09,0.06,0.15,0.09,0.15,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,24-291,2000,32,32,"2,879",32.0,3,2,5,3,0,0,9,1,1.9,1.9,1.2,3.1,22,126,8,0.09,0.06,0.16,0.09,0.16,0.06,0.04,0.10,0.06,0.10,Matches
Marco Asensio,es ESP,"MF,FW",Aston Villa,29-099,1996,9,5,481,5.3,3,1,4,3,0,2,1,0,4.2,2.6,0.8,3.4,15,31,23,0.56,0.19,0.75,0.56,0.75,0.78,0.15,0.93,0.49,0.64,Matches
Marcos Senesi,ar ARG,DF,Bournemouth,27-355,1997,15,12,"1,014",11.3,0,0,0,0,0,0,5,0,0.8,0.8,0.2,1.0,12,51,5,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-181,1997,15,12,978,10.9,4,1,5,4,0,0,2,0,1.7,1.7,2.1,3.8,20,21,79,0.37,0.09,0.46,0.37,0.46,0.16,0.19,0.35,0.16,0.35,Matches
Marcus Rashford,eng ENG,FW,Aston Villa,27-181,1997,10,4,444,4.9,2,2,4,1,1,1,0,0,3.1,2.3,2.3,4.5,22,13,42,0.41,0.41,0.81,0.20,0.61,0.62,0.46,1.08,0.46,0.92,Matches
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-039,1999,25,16,"1,580",17.6,3,5,8,3,0,0,5,0,5.2,5.2,2.8,8.1,39,99,103,0.17,0.28,0.46,0.17,0.46,0.30,0.16,0.46,0.30,0.46,Matches
Mario Lemina,ga GAB,"MF,DF",Wolves,31-241,1993,17,15,"1,364",15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
Mark Flekken,nl NED,GK,Brentford,31-321,1993,32,32,"2,825",31.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01,Matches
Mark Travers,ie IRL,GK,Bournemouth,25-347,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-312,1996,10,9,788,8.8,1,1,2,1,0,0,0,0,3.0,3.0,1.5,4.5,5,8,24,0.11,0.11,0.23,0.11,0.23,0.34,0.17,0.51,0.34,0.51,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-105,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Martin Ødegaard,no NOR,MF,Arsenal,26-134,1998,26,23,"2,040",22.7,2,6,8,1,1,1,4,0,4.4,3.7,4.6,8.2,79,231,142,0.09,0.26,0.35,0.04,0.31,0.20,0.20,0.40,0.16,0.36,Matches
Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-110,1999,13,4,374,4.2,0,0,0,0,0,0,3,0,1.5,1.5,0.2,1.7,9,18,20,0.00,0.00,0.00,0.00,0.00,0.35,0.05,0.40,0.35,0.40,Matches
